Property Name,Portfolio Manager ID,Street Address,Street Address 2,City/Municipality,State/Province,Other State/Province,Postal Code,Country,Year Built,Self-Selected Primary Function,Construction Status,Gross Floor Area,GFA Units,Occupancy (%),Number of Buildings,How Many Buildings?,Parent Property Name (if Applicable),Parent Property ID,Is this Property Owned or Operated by the US or Canadian Federal Government?,Federal Agency/Department
"AK0000AA - FEDERAL BLDG, USCT",2999292,222 W 7TH AVE,,ANCHORAGE,Alaska,,99513,United States,1976,Office,Existing,727348,Sq. Ft.,100,More Than One,2,,,Yes,General Services Administration (GSA)
AK0000AB - USBS DALTON CACHE,20597,MILE 42 HAINES HIGHWAY,,HAINES,Alaska,,99827,United States,1979,Other - Public Services,Existing,17927,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AK0000AH - USBS ALCAN,2629904,M 1221 8 TENTHS AK HWY,,TOK,Alaska,,997809800,United States,1973,Other - Public Services,Existing,43166,Sq. Ft.,100,None,0,,,Yes,General Services Administration (GSA)
AK0001ZZ - ANCHORAGE FED BLDG,20600,605 W 4TH AVENUE,,ANCHORAGE,Alaska,,99501,United States,1940,Office,Existing,101976,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AK0005AK - Ketchikan FB,20599,648 MISSION,,KETCHIKAN,Alaska,,99901,United States,1938,Office,Existing,41652,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AK0013ZZ - HURFF A. SAUNDERS FB-CTHS,2629908,709 W NINTH ST,,JUNEAU,Alaska,,99801,United States,1966,Office,Existing,335822,Sq. Ft.,95,One,1,,,Yes,General Services Administration (GSA)
AK0029ZZ - FAIRBANKS FED BLDG,2629910,101 12TH AVENUE,,FAIRBANKS,Alaska,,997016236,United States,1977,Office,Existing,200468,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AK0032AA - Anchorage Federal Building U.S. Courthouse Annex,2536762,222 W 8th Ave,,Anchorage,Alaska,,99513,United States,1976,Office,Existing,75289,Sq. Ft.,100,One,1,AK0000AA-FBCT-OLD,3616461.0,Yes,General Services Administration (GSA)
AK0514ZZ - PETERSBURG FED BLDG,2629911,12 NORTH NORDIC DRIVE,,PETERSBURG,Alaska,,998339800,United States,1972,Office,Existing,11318,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AK0526ZZ - USBS SKAGWAY,2629912,KLONDIKE HWY,,SKAGWAY,Alaska,,998409800,United States,1994,Other - Public Services,Existing,5016,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AL0000AB - CAMPBELL FED BLDG & CTHSE,2629913,113 ST JOSEPH STREET,,MOBILE,Alabama,,36602,United States,1932,Courthouse,Existing,399659,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AL0000AC - JOHNSON FED BLDG CTHSE,2385102,1 CHURCH STREET,,MONTGOMERY,Alabama,,36104,United States,2000,Courthouse,Existing,427480,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
