Property Name,Portfolio Manager ID,State/Province,Postal Code,Country,Year Built,Gross Floor Area
"AK0000AA - FEDERAL BLDG, USCT",2999292,Alaska,99513,United States,1976,727348
AK0000AB - USBS DALTON CACHE,20597,Alaska,99827,United States,1979,17927
AK0000AH - USBS ALCAN,2629904,Alaska,997809800,United States,1973,43166
AK0001ZZ - ANCHORAGE FED BLDG,20600,Alaska,99501,United States,1940,101976
AK0005AK - Ketchikan FB,20599,Alaska,99901,United States,1938,41652
AK0013ZZ - HURFF A. SAUNDERS FB-CTHS,2629908,Alaska,99801,United States,1966,335822
AK0029ZZ - FAIRBANKS FED BLDG,2629910,Alaska,997016236,United States,1977,200468
AK0032AA - Anchorage Federal Building U.S. Courthouse Annex,2536762,Alaska,99513,United States,1976,75289
AK0514ZZ - PETERSBURG FED BLDG,2629911,Alaska,998339800,United States,1972,11318
AK0526ZZ - USBS SKAGWAY,2629912,Alaska,998409800,United States,1994,5016
AL0000AB - CAMPBELL FED BLDG & CTHSE,2629913,Alabama,36602,United States,1932,399659
AL0000AC - JOHNSON FED BLDG CTHSE,2385102,Alabama,36104,United States,2000,427480
AL0004ZZ - ANNISTON FED BLDG & CTHSE,2629914,Alabama,362014665,United States,1906,19397
AL0007ZZ - MOBILE US COURTHOUSE,2629915,Alabama,366020000,United States,2010,346691
AL0010ZZ - TUSCALOOSA FB-CT,2999293,Alabama,35401,United States,2012,123259
AL0011ZZ - VANCE FED BLDG & COURTHSE,2629916,Alabama,352032111,United States,1921,173996
AL0019ZZ - DOTHAN FED BLDG & CRTHSE,2629917,Alabama,363014574,United States,1911,21224
AL0028ZZ - GADSEN FED BLDG & CTHSE,2629918,Alabama,359013753,United States,1910,34920
AL0034ZZ - HUNTSVILLE PO & COURTHSE,2629919,Alabama,358014869,United States,1936,40929
AL0046ZZ - ANDREWS FED BLG & CTHSE,819,Alabama,36801,United States,1918,23383
AL0055ZZ - SELMA FED BLDG & COURTHSE,2629920,Alabama,367014697,United States,1909,26140
AL0079ZZ - SSA BUILDING,2629922,Alabama,352014604,United States,1967,10965
AR0000RK - LITTLE ROCK FB CT,830,Arkansas,72201,United States,1932,881403
AR0021ZZ - IC PARKER CTHSE PO,1976058,Arkansas,72901,United States,1937,97092
AR0031ZZ - OLD POST OFFICE CTHS,1772097,Arkansas,72201,United States,1881,88021
AR0057ZZ - TEXARKANA USPO CTHS,2394954,Arkansas,75501,United States,1933,100674
AR0062ZZ - HOT SPRGS USPS CTHS,1779496,Arkansas,719014141,United States,1961,69987
AR0066ZZ - HELENA USPS CTHS,1978154,Arkansas,72342,United States,1959,40155
AR0078ZZ - G HOWARD FB USPO CTH,1775888,Arkansas,71601,United States,1966,107960
AR0079ZZ - BATESVILLE FB PO CT,1977394,Arkansas,72501,United States,1974,52558
AR0084ZZ - HAMMERSCHMIDT FB CT,1930409,Arkansas,72701,United States,1974,64186
AZ0000AA - USBS LUKEVILLE,1299757,Arizona,85341,United States,1976,24275
AZ0000BB - USBS DECONCINI- E NOGALES,1299747,Arizona,85621,United States,1936,100225
AZ0000CC - USBS SASABE,1303974,Arizona,85633,United States,1937,15502
AZ0000DD - USBS DOUGLAS,1303915,Arizona,85607,United States,1933,66357
AZ0000FF - BDR PATL SECTOR HQRS,1299729,Arizona,85713,United States,1965,13511
AZ0000GG - USBS SAN LUIS 1,1303969,Arizona,85349,United States,1984,51029
AZ0000HH - USBS NACO,1299718,Arizona,85620,United States,1937,22701
AZ0000JJ - SAN LUIS 2 LPOE,2629923,Arizona,85349,United States,2008,93956
AZ0000WW-USBS MARIPOSA NOGALES,1303927,Arizona,85621,United States,1985,104804
AZ0015ZZ - JA WALSH COURTHOUSE,1279942,Arizona,85701,United States,1930,77539
AZ0051ZZ - PARKING LOT,2999298,Arizona,85003,United States,1962,0
AZ0052ZZ - PHOENIX FED BLDG US CTHSE,1279941,Arizona,85025,United States,1962,304848
AZ0058ZZ - TUCSON FEDERAL BUILDING,1283262,Arizona,85701,United States,1974,172676
AZ0303ZZ - S D OCONNOR COURTHOUSE,1283331,Arizona,85003,United States,2000,564113
AZ0307ZZ - EA DECONCINI COURTHOUSE,1279859,Arizona,85701,United States,2000,439713
AZ0369ZZ-ROLL US COURTHOUSE,3981441,Arizona,85364,United States,2013,62299
BC Place,3996745,British Columbia,V6B 4Y8,Canada,1983,1415314
CA0000AA-APPRAISERS BLDG & CUSTOM,1283266,California,94111,United States,1993,673367
CA0000BB - USBS CALEXICO WEST,1299754,California,92231,United States,1974,138180
CA0000CC - ROYBAL + N L A FED BLDGS,1279897,California,90053,United States,1965,2469628
CA0000DD - JAMES BROWNING US CT,1283474,California,94103,United States,1905,470322
CA0000GG - USBS SAN YSIDRO,1278821,California,92115,United States,1932,223847
CA0000HH - USBS ANDRADE,1303908,California,92283,United States,1958,9397
CA0000JJ - USBS OTAY MESA COMMERCIAL,1299380,California,92173,United States,1985,326899
CA0000KK - ALAMEDA FED CNTR BLDG 1,1278853,California,94501,United States,1942,79662
CA0000LL - USBS TECATE,1283446,California,92154,United States,1932,40983
CA0000MM-SACRAMENTO FEDERAL CAMPUS,1283342,California,95825,United States,2003,334319
CA0000OO - MENLO PARK FED CENTER,1303972,California,94025,United States,1953,400224
CA0000RR - PASADENA FED CRT HSE,1283462,California,91105,United States,1931,168857
CA0000SS - C HOLIFIELD FED BLDG,1283255,California,926773405,United States,1971,1067060
CA0000WW - USBS CALEXICO EAST,1299389,California,92231,United States,1996,208141
CA0041ZZ - LOS ANGELES US COURTHOUSE,1279893,California,90012,United States,1937,885295
