Property Name,Portfolio Manager ID,Use Type
MI0000MC - MCNAMARA FB FACILITY,1463252,Office
MI0029ZZ - LEVIN US COURTHOUSE,2630023,Courthouse
MI0029ZZ - LEVIN US COURTHOUSE,2630023,Urgent Care/Clinic/Other Outpatient
MI0029ZZ - LEVIN US COURTHOUSE,2630023,Parking
MI0029ZZ - LEVIN US COURTHOUSE,2630023,Convenience Store without Gas Station
MI0029ZZ - LEVIN US COURTHOUSE,2630023,Office
MI0029ZZ - LEVIN US COURTHOUSE,2630023,Office
MI0048ZZ - FLINT FED BLDG CTHOU,1165572,Courthouse
MI0072ZZ - KALAMAZOO FB CTHS,1165550,Courthouse
MI0073ZZ - CHRLS CHAMBERLAIN FB,1165538,Courthouse
MI0097ZZ - PORT HURON FB CT,1526241,Bank Branch
MI0097ZZ - PORT HURON FB CT,1526241,Courthouse
MI0097ZZ - PORT HURON FB CT,1526241,Office
MI0118ZZ - ANN ARBOR FB CT,2630024,Courthouse
MI0118ZZ - ANN ARBOR FB CT,2630024,Office
MI0118ZZ - ANN ARBOR FB CT,2630024,Other - Services
MI0118ZZ - ANN ARBOR FB CT,2630024,Non-Refrigerated Warehouse
MI0137ZZ - G R FORD FB CTHSE,1165546,Courthouse
MI0143ZZ - FED PARKING FACILITY,2630025,Parking
MI0401ZZ - AMBASSADOR BRIDGE BO,2630026,Office
MI0402ZZ - SSA BUILDING,1154567,Office
MI0403ZZ - CARGO INSP VACIS,2630027,Other - Services
MI0404ZZ - CARGO INSP. BROKER,2630028,Office
MI0724SB - US BORDER STATION,1612029,Other - Public Services
MN0000GP - USBS GRAND PORTAGE,1612136,Parking
MN0000GP - USBS GRAND PORTAGE,1612136,Other - Public Services
MN0000NB - CUSTOMS IMMIG STAT,2630029,Parking
MN0000NB - CUSTOMS IMMIG STAT,2630029,Other - Public Services
MN0000TC - BISHOP H WHIPPLE FB,1559246,Office
MN0000TC - BISHOP H WHIPPLE FB,1559246,Parking
MN0000WB - WARROAD USBS,2630030,Parking
MN0000WB - WARROAD USBS,2630030,Other - Public Services
MN0015ZZ - HEANEY FED BLD  & CT,1165540,Courthouse
MN0015ZZ - HEANEY FED BLD  & CT,1165540,Parking
MN0021ZZ - FERGUS FALLS USPS CT,1165564,Courthouse
MN0021ZZ - FERGUS FALLS USPS CT,1165564,Parking
MN0021ZZ - FERGUS FALLS USPS CT,1165564,Office
MN0036ZZ - FEDERAL BUILDING,1214,Office
MN0036ZZ - FEDERAL BUILDING,1214,Parking
MN0036ZZ - FEDERAL BUILDING,1214,Office
MN0076ZZ - BEMIDJI FED BLDG,2630031,Office
MN0076ZZ - BEMIDJI FED BLDG,2630031,Parking
MN0084ZZ - SSA MINNEAPOLIS,1568066,Office
MN0084ZZ - SSA MINNEAPOLIS,1568066,Parking
MN0087ZZ - W E BURGER FOBCTHSE,2386983,Courthouse
MN0087ZZ - W E BURGER FOBCTHSE,2386983,Parking
MN0088ZZ - SSA AUSTIN,2411343,Office
MN0088ZZ - SSA AUSTIN,2411343,Parking
MN0092ZZ - MINNEAPOLIS US CTHSE,1165566,Courthouse
MN0092ZZ - MINNEAPOLIS US CTHSE,1165566,Parking
MN0300ZZ - USBS INTERNATIONAL F,2630032,Parking
MN0300ZZ - USBS INTERNATIONAL F,2630032,Other - Public Services
MN0600ZZ - BS BAUDETTE,2630033,Parking
MN0600ZZ - BS BAUDETTE,2630033,Other - Public Services
MO0000AF - FED CTR GOODFELLOW,1665524,Office
MO0000AG - FRC BLDG 100 PAGE,2630035,Office
MO0022ZZ - BOND U.S. COURTHOUSE,2999314,Courthouse
MO0039ZZ - 2306-2312 BANNISTER,3604334,Data Center
MO0050ZZ-WHITTAKER COURTHOUSE,1501666,Courthouse
MO0050ZZ-WHITTAKER COURTHOUSE,1501666,Courthouse
MO0050ZZ-WHITTAKER COURTHOUSE,1501666,Parking
MO0095ZZ - THOMAS F. EAGLETON U.S. COURTHOUSE,2630037,Courthouse
MO0095ZZ - THOMAS F. EAGLETON U.S. COURTHOUSE,2630037,Courthouse
MO0095ZZ - THOMAS F. EAGLETON U.S. COURTHOUSE,2630037,Parking
MO0095ZZ - THOMAS F. EAGLETON U.S. COURTHOUSE,2630037,Non-Refrigerated Warehouse
MO0106ZZ - ROBT A YOUNG FED BLD,1436668,Office
MO0106ZZ - ROBT A YOUNG FED BLD,1436668,Office
MO0106ZZ - ROBT A YOUNG FED BLD,1436668,Social/Meeting Hall
MO0106ZZ - ROBT A YOUNG FED BLD,1436668,Office
MO0106ZZ - ROBT A YOUNG FED BLD,1436668,Office
MO0106ZZ - ROBT A YOUNG FED BLD,1436668,Restaurant
MO0106ZZ - ROBT A YOUNG FED BLD,1436668,Other - Recreation
MO0106ZZ - ROBT A YOUNG FED BLD,1436668,Other
MO0121ZZ - FB-PO-CT HANNIBAL,1813401,Courthouse
MO0121ZZ - FB-PO-CT HANNIBAL,1813401,Parking
MO0121ZZ - FB-PO-CT HANNIBAL,1813401,Office
MO0121ZZ - FB-PO-CT HANNIBAL,1813401,Office
MO0121ZZ - FB-PO-CT HANNIBAL,1813401,Office
MO0127ZZ - R BOLLING FB,1278683,Office
MO0127ZZ - R BOLLING FB,1278683,Other
MO0127ZZ - R BOLLING FB,1278683,Other
MO0127ZZ - R BOLLING FB,1278683,Parking
MO0127ZZ - R BOLLING FB,1278683,Data Center
MO0134ZZ - FB 8930 WARD PRKWY,1533261,Office
MO0147ZZ - CAPE GIRARDEAU U.S. COURTHOUSE,1813397,Courthouse
MO0147ZZ - CAPE GIRARDEAU U.S. COURTHOUSE,1813397,Parking
MO0147ZZ - CAPE GIRARDEAU U.S. COURTHOUSE,1813397,Other
MO0147ZZ - CAPE GIRARDEAU U.S. COURTHOUSE,1813397,Other
MS0000AA - DM RUSSELL FED BLDG CTHSE,1123272,Courthouse
MS0008ZZ - NATCHEZ US COURTHOUSE,2630040,Courthouse
MS0031ZZ - J EASTLAND COURTHSE & PO,2630041,Courthouse
MS0065ZZ - GREENVILLE FED BLD-PO-CTH,2630043,Courthouse
MS0072ZZ-WM COLMER FED BLD & CTHSE,2630044,Office
MS0079ZZ - OXFORD FED BLD CTHSE PO,2630045,Courthouse
MS0082ZZ - TG ABERNETHY FED BLD,2630046,Office
MS0083ZZ - MC COY FED BLDG,2630047,Office
MT0000AD - USBS CHIEF MOUNTAIN,2630048,Office
MT0000AE - USBS PIEGAN,2630049,Office
MT0000AF - USBS RAYMOND,2630050,Office
MT0000AG - USBS EUREKA,2630051,Office
MT0000AW - USBS TURNER,2630052,Office
MT0004ZZ - MIKE MANSFIELD FED BLG CT,2280842,Courthouse
MT0017ZZ - MISSOULA FED BLDG PO CTHS,2487884,Office
MT0017ZZ - MISSOULA FED BLDG PO CTHS,2487884,Parking
MT0042ZZ - US BORDER PATROL HQ,2280844,Office
MT0046ZZ - BOZEMAN FED BLDG PO,2280862,Office
MT0050ZZ - BILLINGS FEDERAL BLDG,2630055,Office
NC0000AB - SANFORD FB-CT-VMF,2630056,Courthouse
NC0000AE - ASHEVILLE FED FACILITY,2384089,Office
NC0011ZZ - NEW BERN PO & CRTHSE,2424315,Courthouse
NC0020ZZ-J HERBERT W SMALL FB-CT,2630058,Courthouse
NC0028ZZ - LR PREYER FED BLDG & CTHS,2630059,Courthouse
NC0029ZZ-US COURTHOUSE ANNEX,2630060,Courthouse
NC0058ZZ - CENTURY STATION FED BD PO,2630061,Office
NC0072ZZ - STATEVILLE COURTHSE & PO,2630062,Courthouse
NC0085ZZ - A LENNON FED BLD COURTHSE,2423682,Courthouse
NC0092ZZ-U S COURTHOUSE,2384101,Office
NC0113ZZ-H W WARD FED BLG CTHOUSE,2630064,Office
NC2582ZZ - Charles R. Jonas Federal Building,2300902,Courthouse
NC2582ZZ - Charles R. Jonas Federal Building,2300902,Courthouse
NC2582ZZ - Charles R. Jonas Federal Building,2300902,Courthouse
NC2582ZZ - Charles R. Jonas Federal Building,2300902,Courthouse
NC2582ZZ - Charles R. Jonas Federal Building,2300902,Courthouse
NC2582ZZ - Charles R. Jonas Federal Building,2300902,Courthouse
NC2582ZZ - Charles R. Jonas Federal Building,2300902,Courthouse
NC2582ZZ - Charles R. Jonas Federal Building,2300902,Courthouse
NC2582ZZ - Charles R. Jonas Federal Building,2300902,Courthouse
ND0000AK-USBS AMBROSE,2630065,Office
ND0000AL - USBS DUNSEITH,2630067,Office
ND0000AM - USBS PORTAL,2630068,Office
ND0000AN-USBS ST JOHN,2630069,Office
ND0000AO - USBS PEMBINA,2630071,Office
ND0002ZZ - BISMARCK FEDERAL BLDG,2487579,Office
ND0006ZZ - FARGO FED BLDG CTHOUSE,1279,Office
ND0006ZZ - FARGO FED BLDG CTHOUSE,1279,Parking
ND0008ZZ - RONALD DAVIES FED BLDG CT,2280894,Courthouse
ND0008ZZ - RONALD DAVIES FED BLDG CT,2280894,Office
ND0008ZZ - RONALD DAVIES FED BLDG CT,2280894,Parking
ND0014ZZ - VAN SICKLE FB CTHS,2630072,Courthouse
ND0018ZZ - PEMBINA CUSTOMS HOUSE PO,2630073,Office
ND0032ZZ-BDR PATROL SECTOR HQ,2630074,Office
ND0037ZZ - WLM GUY FED BLDG PO CTHSE,2280788,Office
ND0038ZZ - NEW PARKING LOT,2630075,Parking
ND0045ZZ - SIXTH ST BUILDING,2630076,Office
ND0046ZZ - FED BLDG PO,1285,Office
ND0046ZZ - FED BLDG PO,1285,Parking
ND0046ZZ - FED BLDG PO,1285,Parking
NE0018ZZ - GRAND ISLAND FB,1533328,Office
NE0018ZZ - GRAND ISLAND FB,1533328,Office
NE0036ZZ - HRUSKA CH - OMAHA,1533071,Courthouse
NE0036ZZ - HRUSKA CH - OMAHA,1533071,Parking
NE0036ZZ - HRUSKA CH - OMAHA,1533071,Other
NE0051ZZ - EDW ZORINSKY FED BLD,1813139,Office
NE0051ZZ - EDW ZORINSKY FED BLD,1813139,Office
NE0051ZZ - EDW ZORINSKY FED BLD,1813139,Office
NE0051ZZ - EDW ZORINSKY FED BLD,1813139,Restaurant
NE0051ZZ - EDW ZORINSKY FED BLD,1813139,Other
NE0056ZZ - NORTH PLATTE FBCHPO,1533282,Office
NE0056ZZ - NORTH PLATTE FBCHPO,1533282,Office
NE0531ZZ - ROBERT DENNEY FBCH,1533055,Courthouse
NE0531ZZ - ROBERT DENNEY FBCH,1533055,Parking
NE0531ZZ - ROBERT DENNEY FBCH,1533055,Laboratory
NH0030ZZ - JC CLEVELAND FED BLD,1295,Office
NH0033ZZ - SSA LITTLETON,2392039,Office
NH0036ZZ - TJ MCINTYRE FEDERAL BLDG,1296,Office
NH0036ZZ - TJ MCINTYRE FEDERAL BLDG,1296,Parking
NH0036ZZ - TJ MCINTYRE FEDERAL BLDG,1296,Parking
NH0037ZZ - NORRIS COTTON FEDERAL BLD,1297,Office
NH0037ZZ - NORRIS COTTON FEDERAL BLD,1297,Parking
NH0038ZZ - WB RUDMAN COURTHOUSE,2630077,Courthouse
NJ0000CT - COHEN COMPLEX,2474682,Courthouse
NJ0000CT - COHEN COMPLEX,2474682,Parking
NJ0000FB - CS FISHER COURTHOUSE,2472997,Courthouse
NJ0000FB - CS FISHER COURTHOUSE,2472997,Parking
NJ0056ZZ - WASHINGTON FED BLDG,2630078,Office
NJ0108ZZ - RODINO FED BLDG,1259269,Office
NJ0108ZZ - RODINO FED BLDG,1259269,Data Center
NJ0108ZZ - RODINO FED BLDG,1259269,Parking
NJ0111ZZ - HACKENSACK SSA BLDG,2630079,Office
NJ0114ZZ - SSA TRUST BRIDGETON,2630080,Office
NJ0119ZZ - MONTCLAIR SSA BLDG,2630081,Office
NJ0144ZZ - KING US CH,2630082,Courthouse
NJ0144ZZ - KING US CH,2630082,Parking
NJ0145ZZ - ROE FED BLDG,2630083,Office
NJ0145ZZ - ROE FED BLDG,2630083,Parking
NJ0148ZZ-RODINO CHILDCARE CENTER,4185088,Office
NM0000AA - FSS WAREHOUSE DEPOT,2630084,Non-Refrigerated Warehouse
NM0000AA - FSS WAREHOUSE DEPOT,2630084,Other - Services
NM0000AQ - ALBUQUERQUE PO CTHSE,2630085,Courthouse
NM0000CL-USBS COLUMBUS ADMIN,2630086,Office
NM0000CL-USBS COLUMBUS ADMIN,2630086,Other - Public Services
NM0000CL-USBS COLUMBUS ADMIN,2630086,Other - Public Services
NM0000CL-USBS COLUMBUS ADMIN,2630086,Other - Public Services
NM0000CL-USBS COLUMBUS ADMIN,2630086,Other - Public Services
NM0000CL-USBS COLUMBUS ADMIN,2630086,Other - Public Services
NM0000CL-USBS COLUMBUS ADMIN,2630086,Other - Public Services
NM0000CL-USBS COLUMBUS ADMIN,2630086,Other - Public Services
NM0000CL-USBS COLUMBUS ADMIN,2630086,Other - Public Services
NM0000SN - SANTA FE US CRTHSE,2630087,Office
NM0000SN - SANTA FE US CRTHSE,2630087,Office
NM0000SN - SANTA FE US CRTHSE,2630087,Other - Services
NM0000SN - SANTA FE US CRTHSE,2630087,Courthouse
NM0000ST - SANTA TERESA LPOE,2630088,Other - Public Services
NM0000ST - SANTA TERESA LPOE,2630088,Other - Public Services
NM0000ST - SANTA TERESA LPOE,2630088,Other - Public Services
NM0000ST - SANTA TERESA LPOE,2630088,Other - Public Services
NM0000ST - SANTA TERESA LPOE,2630088,Other - Public Services
NM0000ST - SANTA TERESA LPOE,2630088,Other - Public Services
NM0000ST - SANTA TERESA LPOE,2630088,Other - Public Services
NM0000ST - SANTA TERESA LPOE,2630088,Other - Public Services
NM0000ST - SANTA TERESA LPOE,2630088,Other - Public Services
NM0000ST - SANTA TERESA LPOE,2630088,Other - Public Services
NM0000ST - SANTA TERESA LPOE,2630088,Other - Public Services
NM0000ST - SANTA TERESA LPOE,2630088,Other - Public Services
NM0030ZZ - DIONISIO CHAVEZ FB,1567751,Office
NM0030ZZ - DIONISIO CHAVEZ FB,1567751,Courthouse
NM0030ZZ - DIONISIO CHAVEZ FB,1567751,Other - Services
NM0030ZZ - DIONISIO CHAVEZ FB,1567751,Parking
NM0030ZZ - DIONISIO CHAVEZ FB,1567751,Office
NM0035ZZ - ROSWELL FEDERAL BLDG,2392006,Courthouse
NM0035ZZ - ROSWELL FEDERAL BLDG,2392006,Office
NM0035ZZ - ROSWELL FEDERAL BLDG,2392006,Office
NM0037ZZ - ALBUQEURQUE PK GARAG,2630090,Parking
NM0038ZZ - GALLUP FEDERAL BLDG,1931112,Office
NM0038ZZ - GALLUP FEDERAL BLDG,1931112,Parking
NM0038ZZ - GALLUP FEDERAL BLDG,1931112,Office
NM0042ZZ - RUNNELS FED BLDG,1933794,Office
NM0042ZZ - RUNNELS FED BLDG,1933794,Office
NM0047ZZ - GSA MOTOR POOL SITE,2630091,Office
NM0050ZZ - PETE DOMENICI CTHSE,1566678,Courthouse
NM0050ZZ - PETE DOMENICI CTHSE,1566678,Office
NM0050ZZ - PETE DOMENICI CTHSE,1566678,Parking
NV0012ZZ - C CLIFTON YOUNG FBCT,2630092,Office
NV0013ZZ - FOLEY FB AND CTHS,1279939,Courthouse
NV0013ZZ - FOLEY FB AND CTHS,1279939,Office
NV0013ZZ - FOLEY FB AND CTHS,1279939,Parking
NV0014ZZ - CARSON CITY FEDERAL BLDG,1279338,Office
NV0014ZZ - CARSON CITY FEDERAL BLDG,1279338,Parking
NV0288ZZ - ALAN BIBLE FEDERAL BLDG,1279940,Office
NV0288ZZ - ALAN BIBLE FEDERAL BLDG,1279940,Office
NV0288ZZ - ALAN BIBLE FEDERAL BLDG,1279940,Parking
NV0294ZZ - BR THOMPSON COURTHOUSE,1278822,Courthouse
NV0294ZZ - BR THOMPSON COURTHOUSE,1278822,Parking
NV0304ZZ - LLOYD GEORGE COURTHOUSE,1299353,Courthouse
NV0304ZZ - LLOYD GEORGE COURTHOUSE,1299353,Parking
NY0000AB - USBS ALEXANDRIA BAY,2630093,Office
NY0000CB - USBS CHAMPLAIN,2630094,Office
NY0000CI-CHATEAUGAY LPOE,3981443,Office
NY0000IY - BINGHAMTON DEPOT FACILITY,2999320,Non-Refrigerated Warehouse
NY0000MB - USBS MASSENA,2999321,Office
NY0000OC - MCEWEN CUSTOMS HOUSE,2630096,Office
NY0002ZZ - FOLEY US PO & CH,2414182,Courthouse
NY0026ZZ - DILLON US CH,2630098,Courthouse
NY0059ZZ-USBS FORT COVINGTON,2630099,Courthouse
NY0128ZZ - 201 VARICK FED BLDG,1259993,Office
NY0130ZZ - MARSHALL US CH,1359,Office
NY0131ZZ - HAMILTON CUSTOMS HOUSE,2630100,Office
NY0196ZZ - USBS OVERTON-ROUSES,2630102,Office
NY0197ZZ - USBS ST JOHNS-ROUSES,2630103,Office
NY0216ZZ - USBS TROUT RIVER,2630104,Office
NY0218ZZ - PIRNIE FED BLDG,2414170,Courthouse
NY0234ZZ - DUBERSTEIN US CH,2630105,Office
NY0234ZZ - DUBERSTEIN US CH,2630105,Parking
NY0270ZZ - CELLER US CH,2630107,Office
NY0281ZZ - HANLEY US CH & FED BLDG,2414177,Courthouse
NY0281ZZ - HANLEY US CH & FED BLDG,2414177,Parking
NY0282ZZ - JACOB JAVITS FED BLDG,2423784,Office
NY0282ZZ - JACOB JAVITS FED BLDG,2423784,Parking
NY0300ZZ - O'BRIEN FED BLDG,2414220,Office
NY0304ZZ - KEATING FED BLDG,2414174,Courthouse
NY0311ZZ - HOWARD STREET GARAGE,2630108,Parking
NY0323ZZ - MOLLO FED BLDG,2999322,Office
NY0349ZZ - ADDABBO FED BLDG,1581942,Office
NY0349ZZ - ADDABBO FED BLDG,1581942,Data Center
NY0349ZZ - ADDABBO FED BLDG,1581942,Parking
NY0350ZZ - WEISS FED BLDG,2630109,Office
NY0350ZZ - WEISS FED BLDG,2630109,Parking
NY0351ZZ - MOYNIHAN US CH,1259962,Courthouse
NY0353ZZ - BRIEANT US CH,1259977,Courthouse
NY0355ZZ - D'AMATO US CH,2630110,Courthouse
NY0369ZZ - RH BROWN US MISSION BLDG,2999323,Office
NY0371ZZ-JACKSON US COURTHOUSE,2999324,Courthouse
NY0375ZZ - USBS MASSENA,2630111,Office
NY0399ZZ - ROOSEVELT US CH,2630112,Courthouse
NY0586ZZ - USBS CHATEAUGAY,2630113,Office
NY0626MI - USBS MOOERS,2630114,Office
OH0000CL-BRICKER FEDERAL BLDG,1582428,Office
OH0000CL-BRICKER FEDERAL BLDG,1582428,Parking
OH0000CL-BRICKER FEDERAL BLDG,1582428,Restaurant
OH0000CL-BRICKER FEDERAL BLDG,1582428,Urgent Care/Clinic/Other Outpatient
OH0000CL-BRICKER FEDERAL BLDG,1582428,Other - Services
OH0000CN - POTT STEWART PO CT,1611790,Office
OH0000CN - POTT STEWART PO CT,1611790,Courthouse
OH0000CN - POTT STEWART PO CT,1611790,Restaurant
OH0000CN - POTT STEWART PO CT,1611790,Urgent Care/Clinic/Other Outpatient
OH0000CN - POTT STEWART PO CT,1611790,Other
OH0000DD - WAREHOUSE 4,2387002,Non-Refrigerated Warehouse
OH0000DD - WAREHOUSE 4,2387002,Office
OH0033ZZ-METZENBAUM US CTHSE,1424644,Courthouse
OH0033ZZ-METZENBAUM US CTHSE,1424644,Office
OH0033ZZ-METZENBAUM US CTHSE,1424644,Parking
OH0046ZZ - Kinneary US Courthouse ARRA,1035801,Courthouse
OH0046ZZ - Kinneary US Courthouse ARRA,1035801,Parking
OH0046ZZ - Kinneary US Courthouse ARRA,1035801,Office
OH0046ZZ - Kinneary US Courthouse ARRA,1035801,Restaurant
OH0100ZZ - DONALD PEASE FB,1583679,Courthouse
OH0143ZZ - ASHLEY COURTHOUSE,2411696,Courthouse
OH0143ZZ - ASHLEY COURTHOUSE,2411696,Office
OH0192ZZ - CELEBREZZE FED BLDG,1437116,Office
OH0192ZZ - CELEBREZZE FED BLDG,1437116,Parking
OH0192ZZ - CELEBREZZE FED BLDG,1437116,Financial Office
OH0192ZZ - CELEBREZZE FED BLDG,1437116,Courthouse
OH0192ZZ - CELEBREZZE FED BLDG,1437116,Financial Office
OH0192ZZ - CELEBREZZE FED BLDG,1437116,Urgent Care/Clinic/Other Outpatient
OH0192ZZ - CELEBREZZE FED BLDG,1437116,Convenience Store without Gas Station
OH0192ZZ - CELEBREZZE FED BLDG,1437116,Restaurant
OH0192ZZ - CELEBREZZE FED BLDG,1437116,Other
OH0192ZZ - CELEBREZZE FED BLDG,1437116,Other - Services
OH0194ZZ - SEIBERLING FB CTHSE,1165520,Courthouse
OH0194ZZ - SEIBERLING FB CTHSE,1165520,Parking
OH0194ZZ - SEIBERLING FB CTHSE,1165520,Office
OH0194ZZ - SEIBERLING FB CTHSE,1165520,Restaurant
OH0195ZZ - DAYTON FED BLG CTHSE,1154584,Courthouse
OH0195ZZ - DAYTON FED BLG CTHSE,1154584,Office
OH0195ZZ - DAYTON FED BLG CTHSE,1154584,Urgent Care/Clinic/Other Outpatient
OH0195ZZ - DAYTON FED BLG CTHSE,1154584,Office
OH0196ZZ - FED PARKING FACILITY,2630116,Parking
OH0215ZZ - LAMBROS FB CTHSE,1782904,Parking
OH0215ZZ - LAMBROS FB CTHSE,1782904,Courthouse
OH0301ZZ - STOKES US COURTHOUSE,1165556,Courthouse
OH0301ZZ - STOKES US COURTHOUSE,1165556,Parking
OH0301ZZ - STOKES US COURTHOUSE,1165556,Other
OH0301ZZ - STOKES US COURTHOUSE,1165556,Office
OH0301ZZ - STOKES US COURTHOUSE,1165556,Restaurant
OH0301ZZ - STOKES US COURTHOUSE,1165556,Urgent Care/Clinic/Other Outpatient
OH0302ZZ - N R JONES FED BLDG,1769197,Office
OH0302ZZ - N R JONES FED BLDG,1769197,Courthouse
OH0302ZZ - N R JONES FED BLDG,1769197,Parking
OK0000CT - OKC POST OFF CTHS,2630117,Courthouse
OK0000CT - OKC POST OFF CTHS,2630117,Office
OK0000CT - OKC POST OFF CTHS,2630117,Parking
OK0000CT - OKC POST OFF CTHS,2630117,Office
OK0000CT - OKC POST OFF CTHS,2630117,Office
OK0000CT - OKC POST OFF CTHS,2630117,Office
OK0000CT - OKC POST OFF CTHS,2630117,Courthouse
OK0000CT - OKC POST OFF CTHS,2630117,Parking
OK0000OC - PMD CENTER WAREHSE,2630118,Non-Refrigerated Warehouse
OK0000OC - PMD CENTER WAREHSE,2630118,Other - Services
OK0000OC - PMD CENTER WAREHSE,2630118,Non-Refrigerated Warehouse
OK0000OC - PMD CENTER WAREHSE,2630118,Office
OK0039ZZ - CARL ALBERT FB CTHS,1581968,Courthouse
OK0039ZZ - CARL ALBERT FB CTHS,1581968,Office
OK0039ZZ - CARL ALBERT FB CTHS,1581968,Office
OK0041ZZ - MUSKOGEE FB CTHS,1583405,Courthouse
OK0041ZZ - MUSKOGEE FB CTHS,1583405,Office
OK0041ZZ - MUSKOGEE FB CTHS,1583405,Parking
OK0063ZZ - TULSA FED BLDG,1577605,Courthouse
OK0063ZZ - TULSA FED BLDG,1577605,Office
OK0063ZZ - TULSA FED BLDG,1577605,Parking
OK0074ZZ - LAWTON FED BLDG CTHS,2389905,Courthouse
OK0074ZZ - LAWTON FED BLDG CTHS,2389905,Office
OK0101ZZ - OKLAHOMA CTY FED BLD,1582249,Office
OR0000MM - MEDFORD USGS BLDG,2630119,Office
OR0000PT - TROUTDALE W FED WHS,2630120,Non-Refrigerated Warehouse
OR0000PT - TROUTDALE W FED WHS,2630120,Non-Refrigerated Warehouse
OR0018ZZ - J A REDDEN US CTHS,2630121,Courthouse
OR0023ZZ - GUS J. SOLOMON CTHSE,1406932,Office
OR0023ZZ - GUS J. SOLOMON CTHSE,1406932,Other
OR0023ZZ - GUS J. SOLOMON CTHSE,1406932,Office
OR0023ZZ - GUS J. SOLOMON CTHSE,1406932,Office
OR0024ZZ - PIONEER US CTHSE,20621,Parking
OR0024ZZ - PIONEER US CTHSE,20621,Courthouse
OR0033PE - 911 FEDERAL BUILDING,20624,Office
OR0033PE - 911 FEDERAL BUILDING,20624,Parking
OR0033PE - 911 FEDERAL BUILDING,20624,Office
OR0043ZZ - E.GREEN - W.WYATT FB,20005,Office
OR0043ZZ - E.GREEN - W.WYATT FB,20005,Parking
OR0043ZZ - E.GREEN - W.WYATT FB,20005,Restaurant
OR0043ZZ - E.GREEN - W.WYATT FB,20005,Data Center
OR0045ZZ - DAVID J. WHEELER FB,20627,Office
OR0045ZZ - DAVID J. WHEELER FB,20627,Office
OR0045ZZ - DAVID J. WHEELER FB,20627,Office
OR0045ZZ - DAVID J. WHEELER FB,20627,Office
OR0051ZZ - EUGENE FB-CT,2630122,Office
OR0051ZZ - EUGENE FB-CT,2630122,Office
OR0052ZZ - MARK O. HATFIELD CT,18503,Parking
OR0052ZZ - MARK O. HATFIELD CT,18503,Restaurant
OR0052ZZ - MARK O. HATFIELD CT,18503,Courthouse
OR0053ZZ - WAYNE L. MORSE US CT,1400169,Courthouse
OR0053ZZ - WAYNE L. MORSE US CT,1400169,Parking
PA0000AT - WISSAHICKON FED BLDG,2474727,Office
PA0000AT - WISSAHICKON FED BLDG,2474727,Data Center
PA0000BG - BYRNE GREEN COMPLEX,1134770,Office
PA0000BG - BYRNE GREEN COMPLEX,1134770,Courthouse
PA0000BG - BYRNE GREEN COMPLEX,1134770,Parking
PA0000ER - ERIE FED BLDG COURTHOUSE,2399705,Office
PA0000ER - ERIE FED BLDG COURTHOUSE,2399705,Office
PA0000ER - ERIE FED BLDG COURTHOUSE,2399705,Courthouse
PA0000ER - ERIE FED BLDG COURTHOUSE,2399705,Office
PA0000ER - ERIE FED BLDG COURTHOUSE,2399705,Parking
PA0000NC - NEALON FED BLDG & CTHSE,2630123,Courthouse
PA0143ZZ - RN NIX FED BLDG & USPO,1299442,Office
PA0143ZZ - RN NIX FED BLDG & USPO,1299442,Parking
PA0144ZZ - PHILADELPHIA CUSTOMHOUSE,1297698,Office
PA0144ZZ - PHILADELPHIA CUSTOMHOUSE,1297698,Parking
PA0144ZZ - PHILADELPHIA CUSTOMHOUSE,1297698,Office
PA0158ZZ - PITTSBURG PO & COUTHOUSE,2399391,Parking
PA0158ZZ - PITTSBURG PO & COUTHOUSE,2399391,Courthouse
PA0233ZZ - MOORHEAD FEDERAL BLDG,2399398,Office
PA0233ZZ - MOORHEAD FEDERAL BLDG,2399398,Parking
PA0235ZZ - SCHNEEBELI FED BLDG CTHSE,2630124,Courthouse
PA0260ZZ - SSA TRUST FUND BLDG,2630125,Office
PA0261ZZ - SSA GREENSBURG,2630126,Office
PA0267ZZ - REAGAN FED BLDG & CTHSE,2399399,Office
PA0267ZZ - REAGAN FED BLDG & CTHSE,2399399,Courthouse
PA0267ZZ - REAGAN FED BLDG & CTHSE,2399399,Parking
PA0276ZZ - SSA HAZLETON,2630127,Office
PA0280ZZ - SSA PITTSBURG,2720,Office
PA0588ZZ - CAHN FED BLDG & COURTHSE,2630128,Courthouse
PR0000FP - GSA CENTER,2999327,Office
PR0003ZZ - TOLEDO US CH & FED BLDG,2630129,Courthouse
PR0017ZZ - DEGETAU US CH & FED BLDG,1260020,Office
Potter Stewart Courthouse,3940647,Office
RI0009ZZ - PROVIDENCE COURTHOUSE,1539,Courthouse
RI0010ZZ - JO PASTORE FEDERAL BLDG,1540,Office
RI0010ZZ - JO PASTORE FEDERAL BLDG,1540,Parking
SC0000AA-S THURMOND FED BLDG,2406709,Other
SC0000AC-CHARLESTON PO-CT and Hollings Judicial Center,2630130,Courthouse
SC0002ZZ-C SIMON COURTHOUSE,2630131,Office
SC0004ZZ-GR ANDERSON FB CTHS,2630132,Office
SC0010ZZ-M PERRY COURTHOUSE,2630133,Courthouse
SC0011ZZ-CHARLESTON US CUSTOM HSE,2630134,Office
SC0013ZZ-PERRY PARKING DECK,2406547,Other
SC0018ZZ-DAVIS BANKRUPTCY CTHS,2630135,Courthouse
