Property Name,Portfolio Manager ID,Property Use Name,Use Type,Gross Floor Area for Use,Gross Floor Area Units,Gross Floor Area Temporary Value? (Y/N)
AL0028ZZ - GADSEN FED BLDG & CTHSE,2629918,COURTHOUSE,Courthouse,34920.0,Sq. Ft.,No
AL0034ZZ - HUNTSVILLE PO & COURTHSE,2629919,COURTHOUSE,Courthouse,40929.0,Sq. Ft.,No
AL0046ZZ - ANDREWS FED BLG & CTHSE,819,Office 1,Office,23383.0,Sq. Ft.,No
AL0046ZZ - ANDREWS FED BLG & CTHSE,819,Garage 1,Parking,,,
AL0055ZZ - SELMA FED BLDG & COURTHSE,2629920,COURTHOUSE,Courthouse,26140.0,Sq. Ft.,No
AL0079ZZ - SSA BUILDING,2629922,OFFICE,Office,10965.0,Sq. Ft.,No
AR0000RK - LITTLE ROCK FB CT,830,Office,Office,669947.0,Sq. Ft.,No
AR0000RK - LITTLE ROCK FB CT,830,Courtrooms,Courthouse,156847.0,Sq. Ft.,No
AR0000RK - LITTLE ROCK FB CT,830,Vacant Office,Office,54609.0,Sq. Ft.,No
AR0000RK - LITTLE ROCK FB CT,830,Parking,Parking,,,
AR0021ZZ - IC PARKER CTHSE PO,1976058,Courthouse,Courthouse,18452.0,Sq. Ft.,No
AR0021ZZ - IC PARKER CTHSE PO,1976058,Office,Office,78640.0,Sq. Ft.,No
AR0031ZZ - OLD POST OFFICE CTHS,1772097,Courthouse,Courthouse,32829.0,Sq. Ft.,No
AR0031ZZ - OLD POST OFFICE CTHS,1772097,Office,Office,55192.0,Sq. Ft.,No
AR0031ZZ - OLD POST OFFICE CTHS,1772097,Parking,Parking,,,
AR0057ZZ - TEXARKANA USPO CTHS,2394954,Office,Office,54452.0,Sq. Ft.,No
AR0057ZZ - TEXARKANA USPO CTHS,2394954,Courtrooms,Courthouse,20881.0,Sq. Ft.,No
AR0057ZZ - TEXARKANA USPO CTHS,2394954,Post Office,Other - Services,25341.0,Sq. Ft.,No
AR0062ZZ - HOT SPRGS USPS CTHS,1779496,Courtroom,Courthouse,7135.0,Sq. Ft.,No
AR0062ZZ - HOT SPRGS USPS CTHS,1779496,Office,Office,41997.0,Sq. Ft.,No
AR0062ZZ - HOT SPRGS USPS CTHS,1779496,Vacant Office Space,Office,20855.0,Sq. Ft.,No
AR0066ZZ - HELENA USPS CTHS,1978154,Courthouse,Courthouse,10035.0,Sq. Ft.,No
AR0066ZZ - HELENA USPS CTHS,1978154,Office,Office,30120.0,Sq. Ft.,No
AR0078ZZ - G HOWARD FB USPO CTH,1775888,Office,Office,39131.0,Sq. Ft.,No
AR0078ZZ - G HOWARD FB USPO CTH,1775888,Courthouse,Courthouse,11798.0,Sq. Ft.,No
AR0078ZZ - G HOWARD FB USPO CTH,1775888,Vacant Office,Office,15593.0,Sq. Ft.,No
AR0078ZZ - G HOWARD FB USPO CTH,1775888,Post Office,Other - Services,41438.0,Sq. Ft.,No
AR0079ZZ - BATESVILLE FB PO CT,1977394,Courthouse,Courthouse,7913.0,Sq. Ft.,No
AR0079ZZ - BATESVILLE FB PO CT,1977394,Office,Office,18626.0,Sq. Ft.,No
AR0079ZZ - BATESVILLE FB PO CT,1977394,Mailing Center/Post Office Use,Mailing Center/Post Office,26019.0,Sq. Ft.,No
AR0084ZZ - HAMMERSCHMIDT FB CT,1930409,Courtrooms,Courthouse,20550.0,Sq. Ft.,No
AR0084ZZ - HAMMERSCHMIDT FB CT,1930409,Office,Office,39434.0,Sq. Ft.,No
AR0084ZZ - HAMMERSCHMIDT FB CT,1930409,Vacant Office,Office,4202.0,Sq. Ft.,No
AZ0000AA - USBS LUKEVILLE,1299757,Lukeville Dock,Office,24275.0,Sq. Ft.,No
AZ0000BB - USBS DECONCINI- E NOGALES,1299747,BS OLD CUS BLDG,Office,100225.0,Sq. Ft.,No
AZ0000CC - USBS SASABE,1303974,BS Garage,Office,15502.0,Sq. Ft.,No
AZ0000DD - USBS DOUGLAS,1303915,BS Main Building - US Border Station,Office,66357.0,Sq. Ft.,No
AZ0000FF - BDR PATL SECTOR HQRS,1299729,BDR PATL SECTOR HQRS,Office,13511.0,Sq. Ft.,No
AZ0000GG - USBS SAN LUIS 1,1303969,FMCSA INSPECTION FACILITY,Office,51029.0,Sq. Ft.,No
AZ0000HH - USBS NACO,1299718,FMCSA Vehicle Inspection Facility,Office,22701.0,Sq. Ft.,No
AZ0000JJ - SAN LUIS 2 LPOE,2629923,OFFICE,Office,93956.0,Sq. Ft.,No
AZ0000WW-USBS MARIPOSA NOGALES,1303927,NEW SITE BORDER STATION - WEST,Office,99955.0,Sq. Ft.,No
AZ0015ZZ - JA WALSH COURTHOUSE,1279942,JAMES A. WALSH COURTHOUSE,Courthouse,77539.0,Sq. Ft.,No
AZ0052ZZ - PHOENIX FED BLDG US CTHSE,1279941,AZ0052ZZ - Federal Building & U.S. Courthouse,Courthouse,304848.0,Sq. Ft.,No
AZ0058ZZ - TUCSON FEDERAL BUILDING,1283262,AZ0058ZZ - 300 W. Congress St.,Office,148017.0,Sq. Ft.,No
AZ0058ZZ - TUCSON FEDERAL BUILDING,1283262,Parking,Parking,,,
AZ0058ZZ - TUCSON FEDERAL BUILDING,1283262,Vacant Space,Office,24659.0,Sq. Ft.,No
AZ0303ZZ - S D OCONNOR COURTHOUSE,1283331,SANDRA D. O'CONNOR COURTHOUSE,Courthouse,564113.0,Sq. Ft.,No
AZ0307ZZ - EA DECONCINI COURTHOUSE,1279859,EVO A. DECONCINI COURTHOUSE,Courthouse,439713.0,Sq. Ft.,No
AZ0369ZZ-ROLL US COURTHOUSE,3981441,AZ0369ZZ-ROLL US COURTHOUSE,Office,62299.0,Sq. Ft.,No
BC Place,3996745,Building Use,Stadium (Closed),1415314.0,Sq. Ft.,No
BC Place,3996745,Parking Use,Parking,,,
CA0000AA-APPRAISERS BLDG & CUSTOM,1283266,Appraisers Building,Office,668454.0,Sq. Ft.,No
CA0000BB - USBS CALEXICO WEST,1299754,BS Old Customs Building,Office,138180.0,Sq. Ft.,No
CA0000CC - ROYBAL + N L A FED BLDGS,1279897,Roybal and 300 N LA,Office,2469628.0,Sq. Ft.,No
CA0000DD - JAMES BROWNING US CT,1283474,James R. Browning U.S. Courthouse,Courthouse,470322.0,Sq. Ft.,No
CA0000GG - USBS SAN YSIDRO,1278821,BS Exist Main Building,Office,223847.0,Sq. Ft.,No
CA0000HH - USBS ANDRADE,1303908,BS Main Building - Andrade,Office,9397.0,Sq. Ft.,No
CA0000JJ - USBS OTAY MESA COMMERCIAL,1299380,Paseo Int'l Main Building,Office,326899.0,Sq. Ft.,No
CA0000KK - ALAMEDA FED CNTR BLDG 1,1278853,Federal Center Building 1,Office,70188.0,Sq. Ft.,No
CA0000KK - ALAMEDA FED CNTR BLDG 1,1278853,2D - Shipping & Recieving,Distribution Center,9474.0,Sq. Ft.,No
CA0000KK - ALAMEDA FED CNTR BLDG 1,1278853,Parking,Parking,,,
CA0000LL - USBS TECATE,1283446,BS Main Building,Office,40983.0,Sq. Ft.,No
CA0000MM-SACRAMENTO FEDERAL CAMPUS,1283342,Cottage Way Federal Building,Office,334316.0,Sq. Ft.,No
CA0000MM-SACRAMENTO FEDERAL CAMPUS,1283342,Parking,Parking,,,
CA0000OO - MENLO PARK FED CENTER,1303972,McKelvay Building,Office,400224.0,Sq. Ft.,No
CA0000RR - PASADENA FED CRT HSE,1283462,CA0000RR - Richard H. Chambers US Court of Appeals,Courthouse,168857.0,Sq. Ft.,No
CA0000RR - PASADENA FED CRT HSE,1283462,Parking,Parking,,,
CA0000SS - C HOLIFIELD FED BLDG,1283255,Chet Holifield Federal Building - CA0521SS,Office,847924.0,Sq. Ft.,No
CA0000SS - C HOLIFIELD FED BLDG,1283255,Parking Lot,Parking,,,
CA0000SS - C HOLIFIELD FED BLDG,1283255,Vacant Space,Office,206374.0,Sq. Ft.,No
CA0000SS - C HOLIFIELD FED BLDG,1283255,Guard House 1 - CA0524SS,Other,90.0,Sq. Ft.,No
CA0000SS - C HOLIFIELD FED BLDG,1283255,Guard House 2 - CA0525SS,Other,72.0,Sq. Ft.,No
CA0000SS - C HOLIFIELD FED BLDG,1283255,Service Maintenance Shop - CA0521SS,Other - Services,12600.0,Sq. Ft.,No
CA0000WW - USBS CALEXICO EAST,1299389,Carr Rd. BS Main Building,Office,208141.0,Sq. Ft.,No
CA0041ZZ - LOS ANGELES US COURTHOUSE,1279893, US COURT HOUSE,Courthouse,885295.0,Sq. Ft.,No
CA0041ZZ - LOS ANGELES US COURTHOUSE,1279893,Parking,Parking,,,
CA0083ZZ-HISTORIC SACRAMENTO FB,1279948,Vacant Space,Office,28445.0,Sq. Ft.,No
CA0083ZZ-HISTORIC SACRAMENTO FB,1279948,Office Space,Office,161102.0,Sq. Ft.,No
CA0083ZZ-HISTORIC SACRAMENTO FB,1279948,Parking,Parking,,,
CA0088ZZ - J.WEINBERGER COURTHOUSE,1283247,C0088ZZ - Jacob Weinberger U.S. Courthouse,Courthouse,73179.0,Sq. Ft.,No
CA0088ZZ - J.WEINBERGER COURTHOUSE,1283247,Parking,Parking,,,
CA0093ZZ - FEDERAL OFFICE BLDG,600,Office 1,Office,185000.0,Sq. Ft.,No
CA0093ZZ - FEDERAL OFFICE BLDG,600,Vacant Space,Office,350214.0,Sq. Ft.,No
CA0149ZZ - LOS ANGELES FED BLDG,1283248,North Spring Street Federal Building,Office,71535.0,Sq. Ft.,No
CA0152ZZ - JE MOSS FED BLDG CRTHSE,1283259,Office Space,Office,329017.0,Sq. Ft.,No
CA0152ZZ - JE MOSS FED BLDG CRTHSE,1283259,Vacant Space,Office,32112.0,Sq. Ft.,No
CA0152ZZ - JE MOSS FED BLDG CRTHSE,1283259,Parking,Parking,,,
CA0154ZZ - P BURTON FED BLDG CTHSE,1279464,Office and Common Areas,Office,1349449.0,Sq. Ft.,No
CA0154ZZ - P BURTON FED BLDG CTHSE,1279464,Underground Parking,Parking,,,
CA0154ZZ - P BURTON FED BLDG CTHSE,1279464,26 Court Rooms,Courthouse,52475.0,Sq. Ft.,No
CA0154ZZ - P BURTON FED BLDG CTHSE,1279464,Post Office - Basement,Other - Services,2369.0,Sq. Ft.,No
CA0154ZZ - P BURTON FED BLDG CTHSE,1279464,Cafeteria - 2nd Floor,Restaurant,10912.0,Sq. Ft.,No
CA0154ZZ - P BURTON FED BLDG CTHSE,1279464,Federal Fitness Center,Other - Recreation,12763.0,Sq. Ft.,No
CA0167ZZ - EJ SCHWART FED BLG CRTHSE,2629925,COURTHOUSE,Courthouse,895249.0,Sq. Ft.,No
CA0168ZZ - WEST LOS ANGELES FED BLDG,1278834,Federal Building,Office,567786.0,Sq. Ft.,No
CA0168ZZ - WEST LOS ANGELES FED BLDG,1278834,Outdoor Parking,Parking,,,
CA0168ZZ - WEST LOS ANGELES FED BLDG,1278834,Post Office,Office,19800.0,Sq. Ft.,No
CA0185ZZ-SSA BLDG-MENTOR STREET,1279333,Social Security Building,Office,13200.0,Sq. Ft.,No
CA0186ZZ - SOCIAL SECURITY BLDG,2629926,Office,Office,11977.0,Sq. Ft.,No
CA0194ZZ-SSA BLDG-RUGBY AVE,1279949,Social Security Bldg.,Office,23120.0,Sq. Ft.,No
CA0198ZZ-JC CORMAN FEDERAL BLDG,1283349,Office,Office,187850.0,Sq. Ft.,No
CA0198ZZ-JC CORMAN FEDERAL BLDG,1283349,Vacant,Office,43040.0,Sq. Ft.,No
CA0198ZZ-JC CORMAN FEDERAL BLDG,1283349,Parking,Parking,,,
CA0200ZZ - SANTA ANA FED BLDG,1283468,Office,Office,280365.0,Sq. Ft.,No
CA0200ZZ - SANTA ANA FED BLDG,1283468,Parking,Parking,,,
CA0221ZZ - JOHN F SHEA FED BLDG,1279481, JOHN F SHEA FEDERAL BUILDING,Courthouse,77839.0,Sq. Ft.,No
CA0221ZZ - JOHN F SHEA FED BLDG,1279481,Parking,Parking,,,
CA0224ZZ - HAWTHORNE FED BLDG,1278861,Hawthorne Federal Building,Office,216104.0,Sq. Ft.,No
CA0224ZZ - HAWTHORNE FED BLDG,1278861,Parking,Parking,,,
CA0235ZZ - LJ RYAN FED RECORDS CNTR,1283371,Office,Office,38269.0,Sq. Ft.,No
CA0235ZZ - LJ RYAN FED RECORDS CNTR,1283371,Parking,Parking,,,
CA0235ZZ - LJ RYAN FED RECORDS CNTR,1283371,Records & Archive Space,Non-Refrigerated Warehouse,195718.0,Sq. Ft.,No
CA0260ZZ - RF PECKHAM FED BLDG CTHSE,1283238,ROBERT F. PECKHAM FEDERAL BUILDING & COURTHOUSE,Courthouse,269340.0,Sq. Ft.,No
CA0272ZZ - PARKING GARAGE,2629927,OFFICE,Office,192192.0,Sq. Ft.,No
CA0273ZZ - GLENN M ANDERSON FB,1283287,CA0273ZZ-GLENN M ANDERSON FED BLDG,Office,286992.0,Sq. Ft.,No
CA0273ZZ - GLENN M ANDERSON FB,1283287,Vacant Space,Office,19268.0,Sq. Ft.,No
CA0273ZZ - GLENN M ANDERSON FB,1283287,Parking,Parking,,,
CA0281ZZ - RV DELLUMS FED BLDG,1279478,Office Space,Office,1051309.0,Sq. Ft.,No
CA0281ZZ - RV DELLUMS FED BLDG,1279478,Parking - 151 spaces,Parking,,,
CA0281ZZ - RV DELLUMS FED BLDG,1279478,Vacant Space,Office,30273.0,Sq. Ft.,No
CA0281ZZ - RV DELLUMS FED BLDG,1279478,5 Court Rooms,Courthouse,15000.0,Sq. Ft.,No
CA0281ZZ - RV DELLUMS FED BLDG,1279478,Mailing Center/Post Office Use,Mailing Center/Post Office,4862.0,Sq. Ft.,No
CA0295ZZ - RONALD REAGAN FED BLDG,1177145,Ronald Reagan U.S. Courthouse - CA0295ZZ,Courthouse,660308.0,Sq. Ft.,No
CA0295ZZ - RONALD REAGAN FED BLDG,1177145,Vacant Space,Office,12439.0,Sq. Ft.,No
CA0295ZZ - RONALD REAGAN FED BLDG,1177145,Parking Area,Parking,,,
CA0305ZZ - NEW SAN FRANCISCO FB,2629928,OFFICE,Office,639677.0,Sq. Ft.,No
CA0305ZZ - NEW SAN FRANCISCO FB,2629928,Parking,Parking,,,
CA0306ZZ - RT MATSUI COURTHOUSE,1279839,Courtrooms,Courthouse,46236.0,Sq. Ft.,No
CA0306ZZ - RT MATSUI COURTHOUSE,1279839,Parking,Parking,,,
CA0306ZZ - RT MATSUI COURTHOUSE,1279839,Vacant,Office,24947.0,Sq. Ft.,No
CA0306ZZ - RT MATSUI COURTHOUSE,1279839,Offices,Office,702803.0,Sq. Ft.,No
CA0309ZZ - RE COYLE FED BLDG CTHSE,1283275,CA0309ZZ - Robert E. Coyle U.S. Courthouse,Courthouse,495913.0,Sq. Ft.,No
CA0309ZZ - RE COYLE FED BLDG CTHSE,1283275,Parking,Parking,,,
CA0315ZZ - SEIZED VEHICLE FACILITY,1567868,USMS Seized Vehicles Storehouse,Non-Refrigerated Warehouse,60250.0,Sq. Ft.,No
CA0316ZZ - SAN DIEGO FED COURTHSE,3478838,Office Use,Office,480941.0,Sq. Ft.,No
CA0363ZZ - BAKERSFIELD US COURTHOUSE,3264359,Courthouse Use,Courthouse,35468.0,Sq. Ft.,No
CA6764ZZ - PARKWAY CENTRE,2998918,Office Use,Office,63595.0,Sq. Ft.,No
CO0000AA - DENVER FEDERAL CENTER,2280735,OFFICE,Office,4368913.0,Sq. Ft.,No
CO0006ZZ - NEW CUSTOMS HOUSE,2280737,OFFICE,Office,278252.0,Sq. Ft.,No
CO0009ZZ - BYRON WHITE US COURTHOUSE,2280739,COURTHOUSE,Courthouse,269946.0,Sq. Ft.,No
CO0018ZZ - WAYNE ASPINALL FED BLDG,2629929,OFFICE,Office,41596.0,Sq. Ft.,No
CO0039ZZ - BYRON ROGERS FED BLDG CTH,2280741,OFFICE,Office,790943.0,Sq. Ft.,No
CO0046ZZ - FORT COLLINS FED BLDG PO,2487774,Office 1,Office,87144.0,Sq. Ft.,No
CO0046ZZ - FORT COLLINS FED BLDG PO,2487774,Parking,Parking,,,
CO0050ZZ - CALIFORNIA FED GARAGE BDG,2280901,Office Use,Office,2358.0,Sq. Ft.,No
CO0050ZZ - CALIFORNIA FED GARAGE BDG,2280901,Non-Refrigerated Warehouse Use,Non-Refrigerated Warehouse,17129.0,Sq. Ft.,No
CO0051ZZ - WELTON ST FED GARAGE BLDG,2280800,Non-Refrigerated Warehouse Use,Non-Refrigerated Warehouse,9675.0,Sq. Ft.,No
CO0051ZZ - WELTON ST FED GARAGE BLDG,2280800,Office Use,Office,2817.0,Sq. Ft.,No
CO0053ZZ - GSA PARKING LOT,2629930,Parking Lot,Parking,,,
CO0054ZZ - CESAR CHAVEZ FED BLDG,2280903,OFFICE,Office,313265.0,Sq. Ft.,No
CO0061ZZ - ALFRED ARRAJ COURTHOUSE,2629931,Office,Office,273673.0,Sq. Ft.,No
CO0061ZZ - ALFRED ARRAJ COURTHOUSE,2629931,Holding Cells,Other,10015.0,Sq. Ft.,No
CO0061ZZ - ALFRED ARRAJ COURTHOUSE,2629931,Cout Rooms,Courthouse,42998.0,Sq. Ft.,No
CO0501AA - Bldg 1,3205465,Office,Office,5407.0,Sq. Ft.,No
CO0511AA - Bldg 20,3210202,Office,Office,418099.0,Sq. Ft.,No
CO0514AA - Bldg 25,3222498,Office,Office,402589.0,Sq. Ft.,No
CO0515AA - Bldg 40,3237239,Office,Office,50092.0,Sq. Ft.,No
CO0516AA - Bldg 41,3237241,Office,Office,188257.0,Sq. Ft.,No
CO0516AA - Bldg 41,3237241,Vacant Office Area,Office,3773.0,Sq. Ft.,No
CO0516AA - Bldg 41,3237241,Non-Refrigerated Warehouse Use,Non-Refrigerated Warehouse,304948.0,Sq. Ft.,No
CO0518AA - Bldg 44,3237243,Office,Office,9285.0,Sq. Ft.,No
CO0519AA - Bldg 45,3237245,Office,Office,78407.0,Sq. Ft.,No
CO0520AA - Bldg 46,3237247,Office,Office,13172.0,Sq. Ft.,No
CO0520AA - Bldg 46,3237247,Office - Vacant,Office,8146.0,Sq. Ft.,No
CO0522AA - Bldg 48,3222511,Warehouse,Non-Refrigerated Warehouse,140054.0,Sq. Ft.,No
CO0522AA - Bldg 48,3222511,Office,Office,14368.0,Sq. Ft.,No
CO0527AA - Bldg 50,3237249,Office,Office,146184.0,Sq. Ft.,No
CO0529AA - Bldg 52,3237251,Office,Office,11427.0,Sq. Ft.,No
CO0530AA - Bldg 53,3237253,Office,Office,387363.0,Sq. Ft.,No
CO0531AA - Bldg 54,3237255,Boiler House / Storage,Non-Refrigerated Warehouse,3541.0,Sq. Ft.,No
CO0532AA - Bldg 55,3237257,Office,Office,14050.0,Sq. Ft.,No
CO0533AA - Bldg 56,3237259,Office,Office,205590.0,Sq. Ft.,No
CO0533AA - Bldg 56,3237259,Non-Refrigerated Warehouse Use,Non-Refrigerated Warehouse,76358.0,Sq. Ft.,No
CO0533AA - Bldg 56,3237259,Laboratory Use,Laboratory,72493.0,Sq. Ft.,No
CO0543AA - Bldg 75,3237261,Office,Office,6840.0,Sq. Ft.,No
CO0576AA - Bldg 85,3237263,Office,Office,87912.0,Sq. Ft.,No
CO0624AA - Bldg 810,3237265,Office,Office,129365.0,Sq. Ft.,No
CO0624AA - Bldg 810,3237265,Non-Refrigerated Warehouse Use,Non-Refrigerated Warehouse,540873.0,Sq. Ft.,No
CO0624AA - Bldg 810,3237265,Data Center Use,Data Center,14824.0,Sq. Ft.,No
CO0625AA - Bldg 15,3209167,Office,Office,27749.0,Sq. Ft.,No
CO0626AA - Bldg 16,3210163,Office,Office,38159.0,Sq. Ft.,No
CO0627AA - Bldg 67,3237267,Office,Office,372086.0,Sq. Ft.,No
CO0631AA - Bldg 710,3237269,Office,Office,35845.0,Sq. Ft.,No
CO0644AA/CO0662AA - Day Care and Infant Toddler Center,3237271,Pre-school/Daycare Use,Pre-school/Daycare,9800.0,Sq. Ft.,No
CO0651AA - Bldg 1A,3206172,Office,Office,5220.0,Sq. Ft.,No
CO0652AA - Bldg 21B,3688460,Building Use,Office,5906.0,Sq. Ft.,No
CO0654AA - Bldg 710A,3237273,Office,Office,55599.0,Sq. Ft.,No
CO0657AA - Bldg 720,3237275,Garage,Office,17410.0,Sq. Ft.,No
CO0659AA - Bldg 95,3222578,Warehouse,Non-Refrigerated Warehouse,14268.0,Sq. Ft.,No
CO0659AA - Bldg 95,3222578,Office,Office,175318.0,Sq. Ft.,No
CO0660AA - Bldg 94,3222552,Warehouse,Non-Refrigerated Warehouse,28857.0,Sq. Ft.,No
CO0661AA - Bldg 74A,3222517,Pumphouse,Non-Refrigerated Warehouse,2610.0,Sq. Ft.,No
CO0663AA - Bldg 85A,3237279,Office,Office,15416.0,Sq. Ft.,No
CT0013ZZ - W.R COTTER FED BLDG,902,Garage 1,Parking,,,
CT0013ZZ - W.R COTTER FED BLDG,902,Office 1,Office,174807.0,Sq. Ft.,No
CT0013ZZ - W.R COTTER FED BLDG,902,Vacant,Office,8700.0,Sq. Ft.,No
CT0024ZZ - NEW HAVEN COURTHOUSE,903,Courthouse 1,Courthouse,142659.0,Sq. Ft.,No
CT0053ZZ - AA RIBICOFF FB &CTHS,904,Garage 1,Parking,,,
CT0053ZZ - AA RIBICOFF FB &CTHS,904,Courthouse,Courthouse,85945.0,Sq. Ft.,No
CT0053ZZ - AA RIBICOFF FB &CTHS,904,Office,Office,269755.0,Sq. Ft.,No
CT0053ZZ - AA RIBICOFF FB &CTHS,904,Vacant,Office,5259.0,Sq. Ft.,No
CT0059ZZ - BRIEN MCMAHON FB&CTH,905,Garage 1,Parking,,,
CT0059ZZ - BRIEN MCMAHON FB&CTH,905,Office 1,Office,32486.0,Sq. Ft.,No
CT0059ZZ - BRIEN MCMAHON FB&CTH,905,Garage 1,Parking,,,
CT0059ZZ - BRIEN MCMAHON FB&CTH,905,Mechanical Room,Other,2109.0,Sq. Ft.,No
CT0059ZZ - BRIEN MCMAHON FB&CTH,905,Courtroom,Courthouse,85856.0,Sq. Ft.,No
CT0059ZZ - BRIEN MCMAHON FB&CTH,905,Vacant,Office,10474.0,Sq. Ft.,No
CT0060ZZ - SSA TORRINGTON,906,Office 1,Office,5683.0,Sq. Ft.,No
CT0060ZZ - SSA TORRINGTON,906,Garage 1,Parking,,,
CT0061ZZ - RN GIAIMO FED BLDG,907,Garage 1,Parking,,,
CT0061ZZ - RN GIAIMO FED BLDG,907,Office 1,Office,158199.0,Sq. Ft.,No
CT0061ZZ - RN GIAIMO FED BLDG,907,Mechanical Room,Other,3819.0,Sq. Ft.,No
CT0061ZZ - RN GIAIMO FED BLDG,907,Vacant,Office,14044.0,Sq. Ft.,No
"DC0000AB - EPA EAST, WEST, CW",2629932,Connecting Wing,Office,164532.0,Sq. Ft.,No
"DC0000AB - EPA EAST, WEST, CW",2629932,East Wing,Office,529655.0,Sq. Ft.,No
"DC0000AB - EPA EAST, WEST, CW",2629932,East Parking,Parking,,,
"DC0000AB - EPA EAST, WEST, CW",2629932,West Wing,Office,518932.0,Sq. Ft.,No
DC0000AC - NAVY HILL COMPLEX,2629933,Office,Office,251650.0,Sq. Ft.,No
DC0000NA - NEBRASKA AVE COMPLEX,2999302,DC1400NA_MainSchoolBldg,Other,108313.0,Sq. Ft.,No
DC0000NA - NEBRASKA AVE COMPLEX,2999302,DC1401NA_Class_RecBldg,Other,8339.0,Sq. Ft.,No
DC0000NA - NEBRASKA AVE COMPLEX,2999302,DC1402NA_Off BldgEastAnnex,Other,34664.0,Sq. Ft.,No
DC0000NA - NEBRASKA AVE COMPLEX,2999302,DC1403NA_Lab,Other,30608.0,Sq. Ft.,No
DC0000NA - NEBRASKA AVE COMPLEX,2999302,DC1405NA_Memorial Chapel,Other,16599.0,Sq. Ft.,No
DC0000NA - NEBRASKA AVE COMPLEX,2999302,DC1404NA_LabExtension,Other,37981.0,Sq. Ft.,No
DC0000NA - NEBRASKA AVE COMPLEX,2999302,DC1406_1421NA_Remaining Space,Other,330817.0,Sq. Ft.,No
DC0000SE - ST ELIZABETH WEST CAMPUS,2629934,OFFICE,Office,0.0,Sq. Ft.,No
DC0001ZZ - CENTRAL HTG PLNT STM,2629935,Office,Office,177865.0,Sq. Ft.,No
DC0001ZZ - CENTRAL HTG PLNT STM,2629935,Parking,Parking,,,
DC0001ZZ - CENTRAL HTG PLNT STM,2629935,Industrial,Other,94100.0,Sq. Ft.,No
DC0007ZZ - VETERANS ADMINISTRAT,1670098,Office,Office,684711.0,Sq. Ft.,No
DC0010ZZ - LYNDON B JOHNSON BLD,1675799,Office,Office,596931.0,Sq. Ft.,No
DC0010ZZ - LYNDON B JOHNSON BLD,1675799,Parking,Parking,,,
DC0010ZZ - LYNDON B JOHNSON BLD,1675799,Cafeteria,Restaurant,10328.0,Sq. Ft.,No
DC0014PB - E B PRETTYMAN COURTH,913,Garage 1,Parking,,,
DC0014PB - E B PRETTYMAN COURTH,913,Courthouse 1,Courthouse,602536.0,Sq. Ft.,No
